drug_name,drug_idx
dipyridamole,383
disopyramide,384
disulfiram,385
dmso,386
dobutamine,387
docetaxel,388
dofetilide,389
dolasetron,390
dolutegravir,391
domperidone,392
donepezil,393
dopamine,394
doripenem,395
dorzolamide,396
dothiepin,397
doxapram,398
doxazosin,399
doxepin,400
doxercalciferol,401
doxorubicin,402
doxycycline,403
dronedarone,404
droperidol,405
drospirenone,406
duloxetine,407
dutasteride,408
dyphylline,409
eaca,410
ecallantide,411
echothiophate,412
econazole,413
edrophonium,414
edta,415
efavirenz,416
eicosapentaenoic,417
eletriptan,418
eliglustat,419
eltrombopag,420
elvitegravir,421
emedastine,422
empagliflozin,423
emtricitabine,424
enflurane,425
enfuvirtide,426
entacapone,427
entecavir,428
ephedrine,429
epinastine,430
epinephrine,431
epitopic,432
eplerenone,433
eprosartan,434
eptifibatide,435
ergonovine,436
ergotamine,437
eribulin,438
erlotinib,439
ertapenem,440
erythromycin,441
eslicarbazepine,442
esmolol,443
esomeprazole,444
estazolam,445
estradiol,446
estramustine,447
estriol,448
estrofem,449
estrone,450
ethacrynic,451
ethambutol,452
ethionamide,453
ethosuximide,454
ethotoin,455
etidronate,456
etodolac,457
etomidate,458
etoposide,459
etoricoxib,460
etravirine,461
everolimus,462
exemestane,463
exenatide,464
ezetimibe,465
famciclovir,466
famotidine,467
famp,468
fdurd,469
fe(iii,470
febuxostat,471
felbamate,472
felodipine,473
fenofibrate,474
fenofibric,475
fenoldopam,476
fenoprofen,477
fentanyl,478
ferumoxytol,479
fesoterodine,480
fexofenadine,481
fidaxomicin,482
finasteride,483
fk463,484
flavoxate,485
flecainide,486
florbetaben,487
florbetapir,488
flucloxacillin,489
fluconazole,490
fludarabine,491
fludrocortisone,492
flumazenil,493
flumethasone,494
flunisolide,495
flunitrazepam,496
fluocinolone,497
fluocinonide,498
fluorescein,499
fluoride,500
fluorometholone,501
fluoxetine,502
fluoxymesterone,503
fluphenazine,504
flurandrenolone,505
flurazepam,506
flurbiprofen,507
flutamide,508
fluticasone,509
fluticasone/salmeterol,510
fluvastatin,511
fluvoxamine,512
folate,513
fondaparinux,514
formoterol,515
forteo,516
fosamprenavir,517
fosaprepitant,518
foscarnet,519
fosfomycin,520
fosinopril,521
fosinoprilat,522
fosphenytoin,523
fospropofol,524
fotemustine,525
fp-cit,526
frovatriptan,527
fty720,528
furosemide,529
fusidic,530
gabapentin,531
gadobenate,532
gadobutrol,533
gadodiamide,534
gadofosveset,535
gadolinium,536
gadopentetate,537
gadoteridol,538
gadoversetamide,539
galantamine,540
gamma-aminobutyric,541
ganciclovir,542
gatifloxacin,543
gd-dtpa,544
gd-eob-dtpa,545
ge-132,546
gefitinib,547
gemcitabine,548
gemeprost,549
gemfibrozil,550
gemifloxacin,551
gentamicin,552
glat,553
glibenclamide,554
gliclazide,555
glimepiride,556
glipizide,557
glucagon,558
glucose,559
glutamine,560
glycerol,561
glycine,562
glycopyrrolate,563
gold,564
gonadorelin,565
goserelin,566
granisetron,567
graphene,568
griseofulvin,569
guaifenesin,570
guanfacine,571
guanidinium,572
halcinonide,573
halobetasol,574
