drug_idx,drug_name,x,y,predicted_target_class
106,atenolol,0.8209851,0.046103224,human_cell
107,atomoxetine,0.94434524,-0.16851985,virus
108,atorvastatin,0.919328,-0.25311282,virus
109,atosiban,-1.764385,-0.012155443,fungus
110,atovaquone,-1.2842181,-0.117865235,virus
111,atracurium,-1.1825283,0.045070842,bacteria
112,atropine,3.5170748,0.1672022,human_cell
113,auranofin,-1.4372096,-0.059211582,fungus
114,avanafil,0.16200995,-0.020471334,human_cell
115,axitinib,-0.099155664,-0.08707586,virus
116,azarga,-0.2340908,-0.013220683,virus
117,azathioprine,0.2079885,-0.009187624,human_cell
118,azelaic,-1.4974713,-0.036407635,fungus
119,azelastine,0.15333056,-0.09059036,human_cell
120,azilsartan,-1.9719367,-0.04947634,fungus
121,azithromycin,1.2412713,-0.09582627,human_cell
122,aztreonam,-0.7088132,-0.07732579,virus
123,baclofen,1.3149512,-0.22207123,virus
124,balsalazide,-0.68120456,-0.13298142,virus
125,barium,-0.76574993,0.43954256,bacteria
126,bazedoxifene,-1.6995571,-0.062799394,fungus
127,bcnu,1.1319501,-0.0084307045,human_cell
128,beclomethasone,-0.4989357,0.06387895,bacteria
129,belinostat,-1.7834206,-0.023006722,fungus
130,benazepril,-0.3406279,-0.09689346,virus
131,benazeprilat,-1.0100584,-0.08869994,virus
132,bendamustine,-0.3606887,-0.16582558,virus
133,bendrofluazide,-1.023557,0.2775799,bacteria
134,benicar-hct,-1.0422807,-0.08321881,fungus
135,benzathine,0.35479283,0.2820982,bacteria
136,benzocaine,-1.6016073,0.3735747,bacteria
137,benzonatate,-1.8407979,-0.005556956,fungus
138,benzoyl,-2.0217063,0.0113194585,fungus
139,benzphetamine,-1.7295516,0.10100497,bacteria
140,benztropine,-1.5133226,0.07093968,bacteria
141,benzydamine,-2.225946,0.048100546,fungus
142,benzyl,-0.9674556,0.074960835,bacteria
143,benzylpenicilloyl,-1.9677377,0.05711201,bacteria
144,bepotastine,-2.5907142,0.07824818,fungus
145,bepridil,-1.0410578,0.0020003617,bacteria
146,besifloxacin,-2.6064558,0.07792975,fungus
147,betahistine,-1.6252694,-0.016707256,fungus
148,betaine,-0.84852195,0.13944045,human_cell
149,betamethasone,-1.1764102,-0.12579504,fungus
150,betaxolol,1.5781834,-0.19297156,virus
151,bethanechol,-1.4977975,0.07958418,bacteria
152,bexarotene,1.7300351,-0.324208,virus
153,bezafibrate,-1.4499478,-0.09588969,fungus
154,bicalutamide,0.63144946,-0.22236133,virus
155,bicarbonate,-1.6980674,-0.012538403,fungus
156,biguanide,-2.6402628,0.18043289,bacteria
157,bile,-2.1819587,0.0011298656,fungus
158,bimatoprost,1.8194249,0.29389518,human_cell
159,bisacodyl,-1.6215627,0.14400764,bacteria
160,bisoprolol,1.379883,-0.041819096,human_cell
161,bivalirudin,1.1479437,0.27194482,human_cell
162,bleomycin,1.3348296,0.20788762,human_cell
163,boceprevir,2.606653,-0.21840188,virus
164,bortezomib,9.854243,0.5587555,human_cell
165,bosentan,0.8245275,-0.2273955,virus
166,bosutinib,-0.157727,-0.078202575,human_cell
167,bpti,-0.28212166,-0.0826,virus
168,bretylium,-0.9794767,0.09738789,bacteria
169,brimonidine,1.508672,-0.20381063,virus
170,brinzolamide,2.1840465,0.002584681,human_cell
171,brolene,-2.2076702,0.07182279,fungus
172,bromazepam,-0.9699731,-0.04596077,virus
173,bromcresol,0.31659245,0.13370773,human_cell
174,bromfenac,1.339647,0.18978657,human_cell
175,bromhexine,-2.4035368,0.01713778,fungus
176,bromocriptine,2.2219832,0.31853545,human_cell
177,budesonide,1.9000518,-0.15894207,human_cell
178,bumetanide,0.12081933,0.23949821,human_cell
179,bupivacaine,2.791558,0.21651989,human_cell
180,buprenorphine,1.4188626,-0.26107413,virus
181,bupropion,6.4377584,-0.01645194,human_cell
182,buscopan,-1.0880404,0.11266351,bacteria
183,buspirone,2.06653,0.008006886,human_cell
184,busulfan,2.776708,0.090901054,human_cell
185,butabarbital,-1.6146638,-0.021480143,bacteria
186,butenafine,-2.598249,0.017809078,fungus
187,butoconazole,-2.4725027,0.00950256,fungus
188,butorphanol,0.8257034,0.09867945,human_cell
189,cabazitaxel,-0.16105008,-0.17661819,virus
190,cabergoline,0.27647758,-0.13467905,virus
191,cabozantinib,1.6384952,-0.1553868,virus
192,caffeine,-0.022948742,0.29515874,human_cell
193,calcipotriol,-1.3024445,0.0660061,bacteria
194,calcium,-0.6754763,0.13049966,human_cell
195,canagliflozin,1.2344878,0.051985458,human_cell
196,cancidas,3.7269928,-0.056115985,human_cell
197,candesartan,0.8783839,-0.17359838,virus
198,cantril,-1.5751386,0.062308207,bacteria
199,capecitabine,5.9167404,-0.025877893,human_cell
200,capreomycin,-1.5517693,-0.02300319,fungus
201,capsaicin,0.8261068,0.23483121,human_cell
202,captopril,0.7518952,-0.024394393,human_cell
203,carbachol,-0.57761145,0.21300253,bacteria
204,carbamazepine,3.7130601,0.115799956,human_cell
205,carbenicillin,-1.9792155,-0.010514632,fungus
206,carbidopa,0.14444566,0.045489788,human_cell
207,carbimazole,-1.3809834,-0.06364414,bacteria
208,carbinoxamine,-1.3774195,-0.00513798,bacteria
209,carboplatin,0.09872365,0.017004132,human_cell
210,carboprost,-0.5539763,-0.007881269,virus
211,carfilzomib,-1.1346638,0.017437965,fungus
212,carisoprodol,-1.8750503,0.03443508,fungus
213,carnitine,-0.96854234,-0.09709257,virus
214,carteolol,-1.0304551,-0.028604135,virus
215,carvedilol,1.9102871,-0.2048111,human_cell
216,cas,0.8603413,-0.107188344,virus
217,cefaclor,0.16703057,-0.1572398,virus
218,cefadroxil,-1.35286,-0.047953635,bacteria
219,cefazolin,-0.55506825,-0.013973817,bacteria
220,cefdinir,-0.07390094,0.098718785,bacteria
221,cefditoren,-0.10489845,-0.10543153,virus
222,cefepime,0.034063816,-0.033217177,bacteria
223,cefixime,-1.2441678,-0.01884225,bacteria
224,cefotaxime,-1.3140647,-0.048747987,bacteria
225,cefotetan,-1.7646906,-0.01965399,fungus
226,cefoxitin,-1.0486321,-0.0024264306,bacteria
227,cefpodoxime,0.85389876,-0.18036637,virus
228,cefprozil,-1.2482738,0.021119386,bacteria
229,ceftaroline,-1.4895859,-0.06316505,fungus
230,ceftazidime,-0.45161462,-0.015476286,bacteria
231,ceftizoxime,-1.432466,-0.019854546,bacteria
232,ceftobiprole,-0.9671819,0.013650477,bacteria
233,ceftriaxone,-0.25241876,-0.107972175,virus
234,cefuroxime,0.51351714,0.027022421,human_cell
235,celecoxib,3.0097272,-0.20507222,human_cell
236,celiprolol,-0.6874099,0.11527772,bacteria
237,cephalexin,-1.051229,-0.096283704,virus
238,cephem,-1.2117641,-0.049941197,bacteria
239,cerivastatin,-0.3842833,-0.09126839,virus
240,cetirizine,1.3162863,-0.27854407,virus
241,cetrorelix,0.64973617,0.32964325,human_cell
242,cevimeline,4.0781746,-0.22131816,human_cell
243,cgp,0.03852582,-0.13923195,virus
244,chlorambucil,-0.6668787,-0.0031826943,bacteria
245,chloramphenicol,0.63725495,0.37044486,bacteria
246,chlordiazepoxide,-2.0587683,0.07796848,bacteria
247,chlorhexidine,-0.94597983,0.12072277,bacteria
248,chloride,-1.9542053,0.027696908,fungus
249,chloroprocaine,-1.4754972,0.14478853,bacteria
