epoch,loss,val_action_acc
1,1.820298671722412,0.07017543911933899
2,1.8186335563659668,0.07017543911933899
3,1.8180545568466187,0.07017543911933899
4,1.8144774436950684,0.07017543911933899
5,1.811450481414795,0.07017543911933899
6,1.8097832202911377,0.07017543911933899
7,1.8069075345993042,0.07017543911933899
8,1.8046828508377075,0.0760233923792839
9,1.8015162944793701,0.07017543911933899
10,1.7978488206863403,0.05847953259944916
11,1.7953509092330933,0.05263157933950424
12,1.7922378778457642,0.046783626079559326
13,1.788041353225708,0.046783626079559326
14,1.7872529029846191,0.035087719559669495
15,1.7795385122299194,0.04093567281961441
16,1.7764575481414795,0.04093567281961441
17,1.776066780090332,0.046783626079559326
18,1.770161747932434,0.035087719559669495
19,1.7634234428405762,0.04093567281961441
20,1.7593854665756226,0.04093567281961441
21,1.7515623569488525,0.046783626079559326
22,1.7431349754333496,0.04093567281961441
23,1.7371790409088135,0.04093567281961441
24,1.7297172546386719,0.035087719559669495
25,1.724443793296814,0.02923976629972458
26,1.725521445274353,0.017543859779834747
27,1.7087924480438232,0.017543859779834747
28,1.7109401226043701,0.017543859779834747
29,1.6919333934783936,0.023391813039779663
30,1.681915521621704,0.023391813039779663
31,1.684740424156189,0.023391813039779663
32,1.6768944263458252,0.023391813039779663
33,1.661060094833374,0.023391813039779663
34,1.654820203781128,0.02923976629972458
35,1.6546705961227417,0.02923976629972458
36,1.642667531967163,0.02923976629972458
37,1.6296424865722656,0.04093567281961441
38,1.6289327144622803,0.046783626079559326
39,1.6316614151000977,0.06432748585939407
40,1.6091272830963135,0.09356725215911865
41,1.6098222732543945,0.09941520541906357
42,1.6084305047988892,0.10526315867900848
43,1.6088733673095703,0.1461988240480423
44,1.6028717756271362,0.16374269127845764
45,1.6144962310791016,0.1812865436077118
46,1.5953798294067383,0.1812865436077118
47,1.5750162601470947,0.1871345043182373
48,1.5881702899932861,0.1871345043182373
49,1.5981111526489258,0.19298245012760162
50,1.5791064500808716,0.19298245012760162
